category,english,french,french_translit,japanese,japanese_romaji,korean,korean_RR,spanish_translit,spanish,german_translit,german
animals,lion,lion,lion,ライオン,Raion,사자,saja,leon,león,Lowe,Löwe
animals,tiger,tigre,tigre,虎,Tora,호랑이,horangi,tigre,tigre,Tiger,Tiger
animals,bear,ours,ours,クマ,Kuma,곰,gom,oso,oso,tragen,tragen
animals,elephant,éléphant,elephant,象,Zou,코끼리,kokkiri,elefante,elefante,Elefant,Elefant
animals,zebra,zèbre,zebre,シマウマ,Shimauma,얼룩말,eollugmal,cebra,cebra,Zebra,Zebra
animals,giraffe,girafe,girafe,キリン,Kirin,기린,girin,jirafa,jirafa,Giraffe,Giraffe
animals,rhinoceros,rhinocéros,rhinoceros,サイ,Sai,코뿔소,koppulso,rinoceronte,rinoceronte,Nashorn,Nashorn
animals,hippopotamus,hippopotame,hippopotame,カバ,Kaba,하마,hama,hipopotamo,hipopótamo,Nilpferd,Nilpferd
animals,kangaroo,kangourou,kangourou,カンガルー,Kangaruu,캥거루,kaengeoru,canguro,canguro,Kanguru,Känguru
animals,koala,koala,koala,コアラ,Koara,코알라,koalla,coala,coala,Koala,Koala
animals,panda,Panda,Panda,パンダ,Panda,팬더,paendeo,panda,panda,Panda,Panda
animals,sloth,paresseux,paresseux,怠惰,Taida,나태,natae,ranura,ranura,Faultier,Faultier
animals,monkey,singe,singe,猿,Saru,원숭이,wonsungi,mono,mono,Affe,Affe
animals,gorilla,gorille,gorille,ゴリラ,Gorira,고릴라,golilla,gorila,gorila,Gorilla,Gorilla
animals,chimpanzee,chimpanzé,chimpanze,チンパンジー,Chimpanjii,침팬지,chimpanji,chimpance,chimpancé,Schimpanse,Schimpanse
animals,leopard,léopard,leopard,ヒョウ,Hyou,표범,pyobeom,leopardo,leopardo,Leopard,Leopard
animals,jaguar,jaguar,jaguar,ジャガー,Jagaa,재규어,jaegyueo,jaguar,jaguar,Jaguar,Jaguar
animals,cheetah,guépard,guepard,チーター,Chiitaa,치타,chita,guepardo,guepardo,Gepard,Gepard
animals,lynx,Lynx,Lynx,リンクス,Rinkusu,스라소니,seurasoni,lince,lince,Luchs,Luchs
animals,wolf,loup,loup,狼,Ookami,늑대,neugdae,lobo,lobo,Wolf,Wolf
animals,fox,renard,renard,キツネ,Kitsune,여우,yeou,zorro,zorro,Fuchs,Fuchs
animals,raccoon,raton laveur,raton_laveur,ラクーン,Rakun,너구리,neoguri,mapache,mapache,Waschbar,Waschbär
animals,otter,loutre,loutre,カワウソ,Kawauso,수달,sudal,nutria,nutria,Otter,Otter
animals,beaver,castor,castor,ビーバー,Biibaa,비버,bibeo,castor,castor,Biber,Biber
animals,squirrel,écureuil,ecureuil,リス,Risu,다람쥐,daramjwi,ardilla,ardilla,Eichhornchen,Eichhörnchen
animals,rabbit,lapin,lapin,うさぎ,Usagi,토끼,tokki,conejo,conejo,Kaninchen,Kaninchen
animals,hare,lièvre,lievre,野ウサギ,Nousagi,토끼,tokki,liebre,liebre,Hase,Hase
animals,chipmunk,tamia,tamia,シマリス,Shimaarisu,다람쥐,daramjwi,ardiente,ardiente,Chipmunk,Chipmunk
animals,bat,chauve souris,chauve_souris,コウモリ,Koumori,박쥐,bakjwi,murcielago,murciélago,Schlager,Schläger
animals,mouse,souris,souris,ねずみ,Nezumi,생쥐,saengjwi,raton,ratón,Maus,Maus
animals,hamster,hamster,hamster,ハムスター,Hamusutaa,햄스터,haemseuteo,hamster,hámster,Hamster,Hamster
animals,chinchilla,chinchilla,chinchilla,チンチラ,Chinchira,친칠라,chinchilla,chinchilla,chinchilla,Chinchilla,Chinchilla
animals,ferret,furet,furet,フェレット,Feretto,가는 리본,ganeun_ribon,huron,hurón,Frettchen,Frettchen
animals,weasel,belette,belette,イタチ,Itachi,족제비,jogjebi,comadreja,comadreja,Wiesel,Wiesel
animals,badger,blaireau,blaireau,狸,Tanuki,오소리,osori,tejon,tejón,Dachs,Dachs
animals,hedgehog,hérisson,herisson,ハリネズミ,Harinezumi,고슴도치,goseumdochi,erizo,erizo,Igel,Igel
animals,porcupine,porc-épic,porc-epic,ヤマアラシ,Yamaarashi,호저,hojeo,puerco_espin,puerco espín,Stachelschwein,Stachelschwein
animals,armadillo,tatou,tatou,アルマジロ,Arumajiro,아르마딜로,areumadillo,armadillo,armadillo,Gurteltier,Gürteltier
animals,anteater,fourmilier,fourmilier,アリタン,Aritan,개미핥기,gaemihaltgi,oso_hormiguero,oso hormiguero,Ameisenbar,Ameisenbär
animals,platypus,ornithorynque,ornithorynque,カラタイプ,Karataipu,오리너구리,orineoguri,ornitorrinco,ornitorrinco,Schnabeltier,Schnabeltier
animals,echidna,échidné,echidne,エキドナ,Ekidona,에치 나,echi_na,ecidna,ecidna,Echidna,Echidna
animals,wombat,wombat,wombat,ウォンバット,Wonbatto,웜뱃,wombat,wombat,wombat,Wombat,Wombat
animals,deer,cerf,cerf,鹿,Shika,사슴,saseum,ciervo,ciervo,Reh,Reh
animals,moose,élan,elan,ムース,Muusu,엘크,elkeu,alce,alce,Elch,Elch
animals,elk,wapiti,wapiti,エルク,Eruku,고라니,gorani,alce,alce,Elch,Elch
animals,caribou,caribou,caribou,カリブー,Karibuu,순록,sunrog,caribu,caribú,Karibu,Karibu
animals,antelope,antilope,antilope,アンテロープ,Anteroopu,영양,yeongyang,antilope,antílope,Antilope,Antilope
animals,buffalo,buffle,buffle,バッファロー,Baffaroo,물소,mulso,bufalo,búfalo,Buffel,Büffel
animals,bison,bison,bison,バイソン,Baison,바이슨,baiseun,bisonte,bisonte,Bison,Bison
animals,camel,chameau,chameau,キャメル,Kyameru,낙타,nakta,camello,camello,Kamel,Kamel
animals,llama,lama,lama,ラマ,Rama,야마,yama,llama,llama,Lama,Lama
animals,alpaca,alpaga,alpaga,アルパカ,Arupaka,알파카,alpaka,alpaca,alpaca,Alpaka,Alpaka
animals,donkey,âne,ane,ロバ,Roba,당나귀,dangnagwi,burro,burro,Esel,Esel
animals,horse,cheval,cheval,馬,Uma,말,mal,caballo,caballo,Pferd,Pferd
animals,zebu,zébu,zebu,ゼブ,Zebu,혹소,hogso,cebu,cebú,Zebu,Zebu
animals,yak,yak,yak,ヤク,Yaku,야크,yakeu,yak,yak,Yak,Yak
animals,gazelle,gazelle,gazelle,ガゼル,Gazeru,가젤 영양,gajel_yeongyang,gacela,gacela,Gazelle,Gazelle
animals,impala,impala,impala,インパラ,Inpara,임팔라,impalla,impala,impala,Impala,Impala
animals,crocodile,crocodile,crocodile,クロコダイル,Kurokodairu,악어,ageo,cocodrilo,cocodrilo,Krokodil,Krokodil
animals,alligator,alligator,alligator,アリゲーター,Arigeetaa,악어,ageo,caiman,caimán,Alligator,Alligator
animals,turtle,tortue,tortue,カメ,Kame,거북이,geobugi,tortuga,tortuga,Schildkrote,Schildkröte
animals,tortoise,tortue,tortue,カメ,Kame,남생이,namsaengi,tortuga,tortuga,Schildkrote,Schildkröte
animals,snake,serpent,serpent,蛇,Hebi,뱀,baem,serpiente,serpiente,Schlange,Schlange
animals,lizard,lézard,lezard,トカゲ,Tokage,도마뱀,domabaem,lagarto,lagarto,Eidechse,Eidechse
animals,iguana,iguane,iguane,イグアナ,Iguana,이구아나,igwana,iguana,iguana,Leguan,Leguan
animals,chameleon,caméléon,cameleon,カメレオン,Kamereon,카멜레온,kamelleon,camaleon,camaleón,Chamaleon,Chamäleon
animals,gecko,gecko,gecko,gecko,gekko,도마뱀,domabaem,geco,geco,Gecko,Gecko
animals,frog,grenouille,grenouille,蛙,Kaeru,개구리,gaeguri,rana,rana,Frosch,Frosch
animals,toad,crapaud,crapaud,ヒキガエル,Hikigaeru,두꺼비,duggeobi,sapo,sapo,Krote,Kröte
animals,salamander,salamandre,salamandre,サンショウウオ,Sanshouuo,도롱뇽,dorongnyong,salamandra,salamandra,Salamander,Salamander
animals,bird,oiseau,oiseau,鳥,Tori,새,sae,pajaro,pájaro,Vogel,Vogel
animals,eagle,aigle,aigle,鷲,Washi,독수리,dogsuri,aguila,águila,Adler,Adler
animals,hawk,faucon,faucon,鷹,Taka,매,mae,halcon,halcón,Falke,Falke
animals,falcon,faucon,faucon,ファルコン,Farukon,매,mae,halcon,halcón,Falke,Falke
animals,owl,hibou,hibou,フクロウ,Fukurou,올빼미,olppaemi,buho,búho,Eule,Eule
animals,parrot,perroquet,perroquet,オウム,Oumu,앵무새,aengmusae,loro,loro,Papagei,Papagei
animals,sparrow,moineau,moineau,スズメ,Suzume,참새,chamsae,gorrion,gorrión,Spatz,Spatz
animals,robin,rouge-gorge,rouge-gorge,ロビン,Robin,남자 이름,namja_ireum,Robin,Robin,Robin,Robin
animals,cardinal,cardinal,cardinal,枢機卿,Suikyou,추기경,chugigyeong,cardenal,cardenal,Kardinal,Kardinal
animals,mountain,montagne,montagne,山,Yama,산,san,montana,montaña,Berg,Berg
animals,valley,vallée,vallee,谷,Tani,골짜기,goljaggi,valle,valle,Schlucht,Schlucht
animals,forest,forêt,foret,森,Mori,숲,sup,bosque,bosque,Wald,Wald
animals,desert,désert,desert,砂漠,Sabaku,사막,samak,desierto,desierto,Wuste,Wüste
places,ocean,océan,ocean,海,Umi,대양,daeyang,oceano,océano,Ozean,Ozean
places,river,rivière,riviere,川,Kawa,강,gang,rio,río,Fluss,Fluss
places,lake,lac,lac,湖,Mizuumi,호수,hosu,lago,lago,See,See
places,waterfall,cascade,cascade,滝,Taki,폭포,pogpo,cascada,cascada,Wasserfall,Wasserfall
places,canyon,canyon,canyon,キャニオン,Kyanion,깊은 협곡,gipeun_hyeogog,canon,cañón,Schlucht,Schlucht
places,plain,plaine,plaine,無地,Muji,솔직한,soljighan,plano,plano,schmucklos,schmucklos
places,island,île,ile,島,Shima,섬,seom,isla,isla,Insel,Insel
places,volcano,volcan,volcan,火山,Kazan,화산,hwasan,volcan,volcán,Vulkan,Vulkan
places,fjord,fjord,fjord,フィヨルド,Fiyorudo,협만,hyeopman,fiordo,fiordo,fjord,fjord
places,glacier,glacier,glacier,氷河,Hyouga,빙하,bingha,glaciar,glaciar,Gletscher,Gletscher
